Match-Name,Name,score
"Spencer, IN","Spencer, IN",100
"Kershaw, SC","Kershaw, SC",100
"Middletown, IN","Middletown, IN",100
"Oyster Bay Cove, NY","Oyster Bay Cove, NY",100
"Liverpool, NY","Liverpool, NY",100
"Union, OR","Union, OR",100
"West Terre Haute, IN","West Terre Haute, IN",100
"Lakin, KS","Lakin, KS",100
"Spring Grove, PA","Spring Grove, PA",100
"Glendale, OH","Glendale, OH",100
"Helmetta, NJ","Helmetta, NJ",100
"Marionville, MO","Marionville, MO",100
"Oak Hill, FL","Oak Hill, FL",100
"Carlton, OR","Carlton, OR",100
"Clayton, GA","Clayton, GA",100
"Amherst, VA","Amherst, VA",100
"New Glarus, WI","New Glarus, WI",100
"Mayer, MN","Mayer, MN",100
"Four Oaks, NC","Four Oaks, NC",100
"Creston, OH","Creston, OH",100
"North Plains, OR","North Plains, OR",100
"Newkirk, OK","Newkirk, OK",100
"Windham, OH","Windham, OH",100
"Polo, IL","Polo, IL",100
"Hope, IN","Hope, IN",100
"Belleair Bluffs, FL","Belleair Bluffs, FL",100
"Graceville, FL","Graceville, FL",100
"Rainier, WA","Rainier, WA",100
"Bottineau, ND","Bottineau, ND",100
"Hawley, MN","Hawley, MN",100
"Cleona, PA","Cleona, PA",100
"Calabash, NC","Calabash, NC",100
"Wynnewood, OK","Wynnewood, OK",100
"New Concord, OH","New Concord, OH",100
"Jonesville, MI","Jonesville, MI",100
"Sterling, KS","Sterling, KS",100
"Chesaning, MI","Chesaning, MI",100
"Winsted, MN","Winsted, MN",100
"Phoenix, NY","Phoenix, NY",100
"Oxford, GA","Oxford, GA",100
"Hayward, WI","Hayward, WI",100
"Alamo, TN","Alamo, TN",100
"Star Valley, AZ","Star Valley, AZ",100
"Mitchellville, IA","Mitchellville, IA",100
"Ely, IA","Ely, IA",100
"Cascade, IA","Cascade, IA",100
"Herington, KS","Herington, KS",100
"Redington Shores, FL","Redington Shores, FL",100
"Pequot Lakes, MN","Pequot Lakes, MN",100
"Parsons, TN","Parsons, TN",100
"West Lafayette, OH","West Lafayette, OH",100
"Riverside, AL","Riverside, AL",100
"Bronson, MI","Bronson, MI",100
"Enfield, NC","Enfield, NC",100
"Terrace Park, OH","Terrace Park, OH",100
"Petersburg, IN","Petersburg, IN",100
"Dousman, WI","Dousman, WI",100
"Winamac, IN","Winamac, IN",100
"Ashville, AL","Ashville, AL",100
"Laurel Park, NC","Laurel Park, NC",100
"Waynesboro, TN","Waynesboro, TN",100
"Parkside, PA","Parkside, PA",100
"Davis Junction, IL","Davis Junction, IL",100
"Garrettsville, OH","Garrettsville, OH",100
"West Union, IA","West Union, IA",100
"Pine Ridge, SC","Pine Ridge, SC",100
"Panhandle, TX","Panhandle, TX",100
"Albion, IN","Albion, IN",100
"Waterford, NY","Waterford, NY",100
"Green Level, NC","Green Level, NC",100
"Magnolia, MS","Magnolia, MS",100
"Alpha, NJ","Alpha, NJ",100
"Watsontown, PA","Watsontown, PA",100
"Walkerton, IN","Walkerton, IN",100
"La Porte, IA","La Porte, IA",100
"Elwood, IL","Elwood, IL",100
"Victor, ID","Victor, ID",100
"Seneca, IL","Seneca, IL",100
"Fredonia, WI","Fredonia, WI",100
"Falconer, NY","Falconer, NY",100
"Ogdensburg, NJ","Ogdensburg, NJ",100
"Pawling, NY","Pawling, NY",100
"New Llano, LA","New Llano, LA",100
"Village Of Four Seasons, MO","Village Of Four Seasons, MO",100
"Castle Rock, WA","Castle Rock, WA",100
"Vernonia, OR","Vernonia, OR",100
"Wrightsville, PA","Wrightsville, PA",100
"Denmark, WI","Denmark, WI",100
"Carthage, TN","Carthage, TN",100
"Clinton, MI","Clinton, MI",100
"Croswell, MI","Croswell, MI",100
"Fowler, IN","Fowler, IN",100
"Altamont, IL","Altamont, IL",100
"Walton Hills, OH","Walton Hills, OH",100
"Groton, NY","Groton, NY",100
"Genoa, OH","Genoa, OH",100
"Idalou, TX","Idalou, TX",100
"Anson, TX","Anson, TX",100
"Gold Beach, OR","Gold Beach, OR",100
"Red Lodge, MT","Red Lodge, MT",100
"Woodville, TX","Woodville, TX",100
"Kenilworth, IL","Kenilworth, IL",100
"Palos Park, IL","Palos Park, IL",100
"Newtown, OH","Newtown, OH",100
"Butler, IN","Butler, IN",100
"Eagle Lake, FL","Eagle Lake, FL",100
"Middlefield, OH","Middlefield, OH",100
"East Tawas, MI","East Tawas, MI",100
"Jesup, IA","Jesup, IA",100
"Stroud, OK","Stroud, OK",100
"Marshville, NC","Marshville, NC",100
"Beach, TX","Beach, TX",100
"Aspinwall, PA","Aspinwall, PA",100
"Clever, MO","Clever, MO",100
"Palisade, CO","Palisade, CO",100
"Wendell, ID","Wendell, ID",100
"Fayette, MO","Fayette, MO",100
"Williston, FL","Williston, FL",100
"Kalama, WA","Kalama, WA",100
"Philipsburg, PA","Philipsburg, PA",100
"Troutman, NC","Troutman, NC",100
"Loogootee, IN","Loogootee, IN",100
"Clayton, NM","Clayton, NM",100
"Brusly, LA","Brusly, LA",100
"Bloomingdale, GA","Bloomingdale, GA",100
"Sylva, NC","Sylva, NC",100
"Cohasset, MN","Cohasset, MN",100
